Timestep;Y;M;D;H;AvgOfRealTime
447;2015;2;7;14;11200.75
448;2015;2;7;15;11141.50
449;2015;2;7;16;11207.00
450;2015;2;7;17;11446.00
451;2015;2;7;18;12003.50
452;2015;2;7;19;11654.00
453;2015;2;7;20;11184.50
454;2015;2;7;21;10705.25
455;2015;2;7;22;10829.50
456;2015;2;7;23;10910.75
457;2015;2;8;0;10477.50
458;2015;2;8;1;10038.75
459;2015;2;8;2;9566.75
460;2015;2;8;3;9214.25
461;2015;2;8;4;9093.50
462;2015;2;8;5;9146.75
463;2015;2;8;6;9253.00
464;2015;2;8;7;9266.75
465;2015;2;8;8;9582.50
466;2015;2;8;9;10240.75
467;2015;2;8;10;10591.25
468;2015;2;8;11;10965.00
469;2015;2;8;12;11050.50
470;2015;2;8;13;10718.75
471;2015;2;8;14;10442.25
472;2015;2;8;15;10310.75
473;2015;2;8;16;10184.00
474;2015;2;8;17;10501.50
475;2015;2;8;18;11479.00
476;2015;2;8;19;11540.00
477;2015;2;8;20;11180.25
478;2015;2;8;21;10731.00
479;2015;2;8;22;10837.25
480;2015;2;8;23;10829.25
481;2015;2;9;0;10333.25
482;2015;2;9;1;10043.50
483;2015;2;9;2;9712.25
484;2015;2;9;3;9457.75
485;2015;2;9;4;9420.75
486;2015;2;9;5;9881.25
487;2015;2;9;6;11117.50
488;2015;2;9;7;12189.25
489;2015;2;9;8;12413.25
490;2015;2;9;9;12647.00
491;2015;2;9;10;12629.75
492;2015;2;9;11;12824.50
493;2015;2;9;12;12641.75
494;2015;2;9;13;12759.00
495;2015;2;9;14;12601.50
496;2015;2;9;15;12560.25
497;2015;2;9;16;12523.00
498;2015;2;9;17;12880.00
499;2015;2;9;18;13305.75
500;2015;2;9;19;12869.75
501;2015;2;9;20;12216.75
502;2015;2;9;21;11584.75
503;2015;2;9;22;11797.00
504;2015;2;9;23;11694.00
505;2015;2;10;0;11035.00
506;2015;2;10;1;10532.00
507;2015;2;10;2;10150.75
508;2015;2;10;3;9995.50
509;2015;2;10;4;10039.50
510;2015;2;10;5;10457.50
511;2015;2;10;6;11630.75
512;2015;2;10;7;12564.25
513;2015;2;10;8;12677.25
514;2015;2;10;9;12829.25
515;2015;2;10;10;12842.75
516;2015;2;10;11;13006.50
517;2015;2;10;12;12807.25
518;2015;2;10;13;12805.00
519;2015;2;10;14;12726.50
520;2015;2;10;15;12714.00
521;2015;2;10;16;12635.50
522;2015;2;10;17;12931.50
523;2015;2;10;18;13358.75
524;2015;2;10;19;12919.25
525;2015;2;10;20;12258.00
526;2015;2;10;21;11613.25
527;2015;2;10;22;11821.75
528;2015;2;10;23;11673.75
529;2015;2;11;0;10915.25
530;2015;2;11;1;10417.75
531;2015;2;11;2;10061.50
532;2015;2;11;3;9809.75
533;2015;2;11;4;9801.75
534;2015;2;11;5;10250.25
535;2015;2;11;6;11385.00
536;2015;2;11;7;12438.25
537;2015;2;11;8;12644.50
538;2015;2;11;9;12824.75
539;2015;2;11;10;12920.75
540;2015;2;11;11;13029.00
541;2015;2;11;12;12779.00
542;2015;2;11;13;12750.75
543;2015;2;11;14;12624.00
544;2015;2;11;15;12522.00
545;2015;2;11;16;12475.00
546;2015;2;11;17;12576.00
547;2015;2;11;18;13237.50
548;2015;2;11;19;12929.50
549;2015;2;11;20;12358.25
550;2015;2;11;21;11664.75
551;2015;2;11;22;11897.00
552;2015;2;11;23;11853.25
553;2015;2;12;0;11275.50
554;2015;2;12;1;10763.25
555;2015;2;12;2;10286.25
556;2015;2;12;3;10193.75
557;2015;2;12;4;10198.75
558;2015;2;12;5;10597.50
559;2015;2;12;6;11748.25
560;2015;2;12;7;12783.25
561;2015;2;12;8;12778.25
562;2015;2;12;9;12921.25
563;2015;2;12;10;12836.75
564;2015;2;12;11;12927.00
565;2015;2;12;12;12566.00
566;2015;2;12;13;12448.00
567;2015;2;12;14;12275.25
568;2015;2;12;15;12201.50
569;2015;2;12;16;12073.00
570;2015;2;12;17;12288.25
571;2015;2;12;18;13053.00
572;2015;2;12;19;12817.75
573;2015;2;12;20;12178.75
574;2015;2;12;21;11537.50
575;2015;2;12;22;11790.00
576;2015;2;12;23;11707.00
577;2015;2;13;0;11082.25
578;2015;2;13;1;10713.50
579;2015;2;13;2;10278.50
580;2015;2;13;3;10094.75
581;2015;2;13;4;10079.25
582;2015;2;13;5;10456.25
583;2015;2;13;6;11467.50
584;2015;2;13;7;12478.75
585;2015;2;13;8;12563.00
586;2015;2;13;9;12675.00
587;2015;2;13;10;12560.50
588;2015;2;13;11;12582.25
589;2015;2;13;12;12185.75
590;2015;2;13;13;11994.00
591;2015;2;13;14;11800.75
592;2015;2;13;15;11587.50
593;2015;2;13;16;11599.00
594;2015;2;13;17;11742.75
595;2015;2;13;18;12434.75
596;2015;2;13;19;12140.00
597;2015;2;13;20;11568.25
598;2015;2;13;21;10961.75
599;2015;2;13;22;11227.25
600;2015;2;13;23;11211.50
601;2015;2;14;0;10502.00
602;2015;2;14;1;9838.00
603;2015;2;14;2;9413.25
604;2015;2;14;3;9146.00
605;2015;2;14;4;8944.00
606;2015;2;14;5;8973.50
607;2015;2;14;6;9319.00
608;2015;2;14;7;9541.75
609;2015;2;14;8;10034.25
610;2015;2;14;9;10693.75
611;2015;2;14;10;10974.00
612;2015;2;14;11;11117.75
613;2015;2;14;12;11073.25
614;2015;2;14;13;10855.00
615;2015;2;14;14;10596.00
616;2015;2;14;15;10528.50
617;2015;2;14;16;10432.75
618;2015;2;14;17;10623.00
619;2015;2;14;18;11366.00
620;2015;2;14;19;11207.75
621;2015;2;14;20;10693.00
622;2015;2;14;21;10154.25
623;2015;2;14;22;10273.00
