Timestep;Y;M;D;H;real_time_measured_MW;monitored_capacity_MW;capacity_factor
285;2015;1;31;20;67.14;712.2;0.094271272
286;2015;1;31;21;129.87;712.2;0.182350463
287;2015;1;31;22;414.83;712.2;0.582462791
288;2015;1;31;23;605.79;712.2;0.850589722
289;2015;2;1;0;602.02;712.2;0.845296265
290;2015;2;1;1;610.88;712.2;0.857736591
291;2015;2;1;2;609.86;712.2;0.856304409
292;2015;2;1;3;606.14;712.2;0.851081157
293;2015;2;1;4;603.55;712.2;0.847444538
294;2015;2;1;5;602.76;712.2;0.846335299
295;2015;2;1;6;604.5;712.2;0.848778433
296;2015;2;1;7;604.54;712.2;0.848834597
297;2015;2;1;8;608.18;712.2;0.853945521
298;2015;2;1;9;577.77;712.2;0.811246841
299;2015;2;1;10;390.64;712.2;0.548497613
300;2015;2;1;11;385.86;712.2;0.541786015
301;2015;2;1;12;388.78;712.2;0.545885987
302;2015;2;1;13;388.32;712.2;0.545240101
303;2015;2;1;14;467.11;712.2;0.655869138
304;2015;2;1;15;587.15;712.2;0.824417299
305;2015;2;1;16;592.23;712.2;0.831550126
306;2015;2;1;17;598.31;712.2;0.840087054
307;2015;2;1;18;595.58;712.2;0.836253861
308;2015;2;1;19;585.65;712.2;0.822311149
309;2015;2;1;20;584.76;712.2;0.8210615
310;2015;2;1;21;592.45;712.2;0.831859028
311;2015;2;1;22;594.22;712.2;0.834344285
312;2015;2;1;23;575.99;712.2;0.808747543
313;2015;2;2;0;582.63;712.2;0.818070767
314;2015;2;2;1;559.82;712.2;0.786043246
315;2015;2;2;2;496.56;712.2;0.697219882
316;2015;2;2;3;450.19;712.2;0.632111766
317;2015;2;2;4;369.08;712.2;0.518225218
318;2015;2;2;5;342.48;712.2;0.480876158
319;2015;2;2;6;320.72;712.2;0.450322943
320;2015;2;2;7;381.57;712.2;0.535762426
321;2015;2;2;8;380.91;712.2;0.53483572
322;2015;2;2;9;321.26;712.2;0.451081157
323;2015;2;2;10;295.3;712.2;0.414630722
324;2015;2;2;11;243.88;712.2;0.342431901
325;2015;2;2;12;213.77;712.2;0.300154451
326;2015;2;2;13;203.27;712.2;0.285411401
327;2015;2;2;14;227.42;712.2;0.319320416
328;2015;2;2;15;228.96;712.2;0.32148273
329;2015;2;2;16;197.48;712.2;0.277281662
330;2015;2;2;17;131.29;712.2;0.184344285
331;2015;2;2;18;119.3;712.2;0.167509127
332;2015;2;2;19;119.51;712.2;0.167803988
333;2015;2;2;20;109.41;712.2;0.153622578
334;2015;2;2;21;130.01;712.2;0.182547037
335;2015;2;2;22;127.2;712.2;0.178601516
336;2015;2;2;23;109.66;712.2;0.153973603
337;2015;2;3;0;93.03;712.2;0.13062342
338;2015;2;3;1;69.97;712.2;0.098244875
339;2015;2;3;2;61.27;712.2;0.086029205
340;2015;2;3;3;53.54;712.2;0.075175512
341;2015;2;3;4;34.74;712.2;0.048778433
342;2015;2;3;5;27.73;712.2;0.038935692
343;2015;2;3;6;4.97;712.2;0.006978377
344;2015;2;3;7;4.39;712.2;0.006163999
345;2015;2;3;8;4.39;712.2;0.006163999
346;2015;2;3;9;4.39;712.2;0.006163999
347;2015;2;3;10;4.39;712.2;0.006163999
348;2015;2;3;11;7.61;712.2;0.010685201
349;2015;2;3;12;12.51;712.2;0.017565291
350;2015;2;3;13;89.6;712.2;0.125807357
351;2015;2;3;14;95.2;712.2;0.133670317
352;2015;2;3;15;112.56;712.2;0.158045493
353;2015;2;3;16;106.85;712.2;0.150028082
354;2015;2;3;17;146.94;712.2;0.20631845
